name,role,n,nnz,selected_rank,selected_depth,certificate,gradient_error,proposed_vector_equivalents,full_same_depth_vector_equivalents,full_over_proposed_time,finite_difference_over_proposed_time
Si2,development,769,17801,3,16,0.0005114657606341031,8.964762150328376e-09,48,128,0.9453442936526038,6.34235854199338
SiH4,confirmation,5041,171903,3,16,0.00048654596652337816,1.5492119305847643e-10,48,128,1.5267326105502028,9.039174943059047
benzene,confirmation,8219,242669,3,16,0.0005094580308811478,3.979917378273105e-09,48,128,1.6413180441261805,9.486819680437204
Si5H12,confirmation,19896,738598,3,16,0.000576406676354995,2.8740350087375235e-09,48,128,1.3845515240236757,7.89696961722506
