name,role,n,nnz,selected_rank,selected_depth,certificate,gradient_error,proposed_vector_equivalents,full_same_depth_vector_equivalents,full_over_proposed_time,finite_difference_over_proposed_time
Si2,development,769,17801,6,24,0.000140232786494033,6.867510448809874e-16,144,192,1.364618111358806,3.8770697825993317
SiH4,confirmation,5041,171903,5,24,0.0002086098347152177,3.2267044084846267e-15,120,192,1.6536236354027576,7.587722771768633
benzene,confirmation,8219,242669,6,24,0.00013932986561738633,1.7401514471969808e-15,144,192,2.0376784474692746,10.665323150218725
Si5H12,confirmation,19896,738598,6,24,0.00014717317690316362,1.235821037929414e-15,144,192,0.9901115506382625,5.279398175727587
